address,airdrop_dog,addr_type,funded_txo_count,receive_count
bc1pd4hr7yd94f9888rv8dq6q7pw8wactv8g3en7wf0u7nh2nhyk63nsgesvha,1779612.0,p2tr,10,2
bc1pd6e50zg8tk487ghzhdkd5q4wfjd0jc8ljvdq063qhd890kujkprszlkruq,1779612.0,p2tr,8,2
bc1pd7dmc6jhhq6hfuskgw0w748dhpvm96pg4mswz0ehc9g35r90q04qfgskqk,1779612.0,p2tr,9,2
bc1pda57aa2h99eqysy5lyjsu8kk0zzy4c3uvpc4shfzgzraflcw68kqajw6yy,1779612.0,p2tr,13,2
bc1pdhaz80d26w8tl2adsh3jm00nmevqyn38rr4hpfxsslxeta43kulsnpjfsw,1779612.0,p2tr,15,2
bc1pdld7gr06nf86nr922drfztdgfvxl24adfzayhllnvzyqnkmzyt3s46lh5f,1779612.0,p2tr,12,2
bc1pdr576urr9n3k2fxkxaecdc6ugt0jcwy8p5ymgkh3m2ult8enfg2s20dd42,1779612.0,p2tr,11,2
bc1pe2encgmjmk4hwpekvlnhc7tlt9m0lm4y5d0xmfhuc26scm77tgmsvjz75m,1779612.0,p2tr,10,2
bc1pealnx39tcx25q0gewntlvzcu9uvsr6jqt3ygcgc8me2lm0n2jnpqt5lgne,1779612.0,p2tr,28,2
bc1pec8huepyqnh05vkmrpxf8anxruyw4adkp63m0vd67y05t5mm52zqpqmupz,1779612.0,p2tr,9,2
bc1pecxvlyfjyruq8flyq54uxurr6dnl42lheag04rxpphejq0wfpu4quekku5,1779612.0,p2tr,10,2
