address,airdrop_amount_dog,first_receive_block,first_receive_time,receive_count
bc1p6hdyvvzktruw9td8ryfcfgsdus0a4kwz3xsv68pqrzn7q5a534dqgekljt,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1p98r5neza4evx0xww42t6ax3zgxqnqqglmw7520w8qkxdqp9u9hus36t79v,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1p9eu6evtef00ayumu7klpfafxlk6ju6ksg6q95cuet220x3879y4qmhyx73,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1p9vuj8ujvylh47rs2nlu7dkrkv5fau7l0hjsvd6g5s23l9ext56nqtetdfl,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1p9yrn7m3qpfuluqu39c5zfgc2kwd7eu35tmvzu9pkq9swdzturt0sd9f0js,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pcahza2ljgf6787amacjz4vldq3rkj0re2p6f73xqa8p2ncf7h5eqw6aery,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pcdzvjcq3zzpcx5p2e6gtcv42nl365n2uxqr5049um3yku4e60rmq0ghg2l,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pckxeuagjpvfv0gvxqkqtjhle0c5xxypt59w2gw9c56yevqskjzgqdle5xh,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pd00qwq9fp6ntadl9fyxaypfstft5n44s50f7jg4ue0vql6pgt7psrd7amd,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pdq85a2k6xsxhlup97wfq3lgze748e5tnxsu3tf74rp520cw7z6ksm7wtg7,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pf60ryc0mkamrq5z9te3e3cnpyd46mvqqhmlhrdk48clfszwwpcyqacgxe7,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pfheqlqr8hagfna6xya7mut70rchdak844s8p77ehuc4m3gxswezslypfm0,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pgl4767kfa9n2zxpdqmles8cslpk37wrsdps64duxslc5xsc83l4samk9y3,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1phlqsvz3eqzr8e5fdnqvw0fmga855dk6whgf5n00raatzetkjukyszyh8n4,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1ppnzq3fz2y79mjxan7txk9qmld2nlpj3fz0x208wd0f692uvvwzlspdvs7v,3559224.0,840657,2024-04-24T12:42:21Z,4
bc1prygn3h4lapq0xs9cw4rgltpfhyms53tls2e4rjax7y6hc7896fss775d8e,3559224.0,840657,2024-04-24T12:42:21Z,4
